place,id,sector,year,emp,ann_pay,prod_avg,prod_ann_h,prod_ann_w,mat_cost,ship_val,val_added,total_exp
United States,31-33,Manufacturing,2013,11082237,602878129,7747486,15736107,340634768,3456983065,5846767820,2398391759,172991920
United States,311,Food manufacturing,2013,1372158,55651411,1083732,2199512,37950994,491859294,760811230,269172726,15743862
United States,3111,Animal food manufacturing,2013,43655,2243421,29763,63722,1368966,44328521,60716313,16605294,1127020
United States,3112,Grain and oilseed milling,2013,52009,3003632,38347,82128,2047256,74334651,103588735,29029318,1693419
United States,3113,Sugar and confectionery product manufacturing,2013,68488,3057408,50268,100336,2006317,18428755,33336710,14839016,1076062
United States,3114,Fruit and vegetable preserving and specialty food manufacturing,2013,162401,6557045,136312,273447,4728661,38176989,71236234,33218562,1958265
United States,3115,Dairy product manufacturing,2013,129866,6588388,95454,197611,4405106,80982526,111936389,31100300,2301240
United States,3116,Animal slaughtering and processing,2013,475478,15764738,416795,858153,12313631,149917760,205803347,55742126,3505274
United States,3117,Seafood product preparation and packaging,2013,31387,1274031,26198,52110,868300,6733958,11158372,4437729,281432
United States,3118,Bakeries and tortilla manufacturing,2013,245943,9524977,169823,325310,5736034,29607352,66173164,36595528,1700807
United States,3119,Other food manufacturing,2013,162931,7637771,120772,246694,4476723,49348783,96861966,47604852,2100342
United States,312,Beverage and tobacco product manufacturing,2013,149221,8076087,86948,171211,4337214,59900837,147591170,87741063,3925274
United States,3121,Beverage manufacturing,2013,135847,7216087,76850,151416,3810940,51669519,107253207,55609499,3657484
United States,3122,Tobacco manufacturing,2013,13375,860000,10097,19795,526274,8231317,40337963,32131564,267790
United States,313,Textile mills,2013,102867,4098169,83452,170021,2764470,18443274,31283621,12791209,1077051
United States,3131,"Fiber, yarn, and thread mills",2013,24897,833945,22171,45855,653955,5612664,8034506,2406070,258826
United States,3132,Fabric mills,2013,49129,2075275,39571,79628,1409976,8259503,15357618,7035975,608996
United States,3133,Textile and fabric finishing and fabric coating mills,2013,28842,1188949,21710,44538,700539,4571106,7891497,3349165,209229
United States,314,Textile product mills,2013,109027,3804997,83859,160707,2372819,13104055,22826479,9804680,455580
United States,3141,Textile furnishings mills,2013,50672,1785798,40443,77909,1176811,8160201,12974520,4837646,247107
United States,3149,Other textile product mills,2013,58355,2019198,43416,82798,1196008,4943854,9851959,4967034,208474
United States,315,Apparel manufacturing,2013,97442,2768357,77007,141224,1757032,5873459,12322738,6409483,327771
United States,3151,Apparel knitting mills,2013,11977,352898,9915,20000,254726,1021637,2056837,1086313,61962
United States,3152,Cut and sew apparel manufacturing,2013,77730,2175426,61167,110361,1368257,4338429,9132674,4701643,258053
United States,3159,Apparel accessories and other apparel manufacturing,2013,7735,240034,5924,10863,134048,513393,1133226,621527,7756
United States,316,Leather and allied product manufacturing,2013,25249,843844,19644,36822,512822,3118193,5295065,2233230,65928
United States,3161,Leather and hide tanning and finishing,2013,3312,134232,2524,4958,85286,1439900,1846525,414105,15810
United States,3162,Footwear manufacturing,2013,11334,384266,9087,17184,249498,1021849,2036447,1041620,35773
United States,3169,Other leather and allied product manufacturing,2013,10604,325346,8033,14681,178038,656443,1412094,777505,14345
United States,321,Wood product manufacturing,2013,345846,13377657,277649,562938,9490067,52126391,88560941,36979020,3137354
United States,3211,Sawmills and wood preservation,2013,72930,3211157,61252,133533,2474283,16632667,26684548,10141575,961184
United States,3212,"Veneer, plywood, and engineered wood product manufacturing",2013,63606,2795692,51318,108579,1990951,11684508,20298195,8665688,604098
United States,3219,Other wood product manufacturing,2013,209310,7370807,165079,320827,5024833,23809216,41578199,18171758,1572072
United States,322,Paper manufacturing,2013,345860,20477323,268628,564924,14024554,96043763,186242955,90264521,7182758
United States,3221,"Pulp, paper, and paperboard mills",2013,105254,7939089,83651,182661,6014526,38815040,82756385,44025586,4213676
United States,3222,Converted paper product manufacturing,2013,240606,12538234,184976,382264,8010028,57228723,103486570,46238935,2969082
United States,323,Printing and related support activities,2013,432392,19869368,301770,600117,11924677,33785868,82663171,49005085,2212901
United States,3231,Printing and related support activities,2013,432392,19869368,301770,600117,11924677,33785868,82663171,49005085,2212901
United States,324,Petroleum and coal products manufacturing,2013,101473,9693893,67387,147836,5664715,733092585,865691037,133252851,21127232
United States,3241,Petroleum and coal products manufacturing,2013,101473,9693893,67387,147836,5664715,733092585,865691037,133252851,21127232
United States,325,Chemical manufacturing,2013,718181,52442087,434127,885450,25285108,423462725,797827616,375909941,22917125
United States,3251,Basic chemical manufacturing,2013,148074,12048169,91463,194024,6732042,177907885,280530089,102700342,8966646
United States,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2013,86817,6020651,59415,124631,3532280,77436213,111265573,33796268,3544801
United States,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2013,30720,2071756,19228,40838,1129391,23617516,45140299,21905964,1908811
United States,3254,Pharmaceutical and medicine manufacturing,2013,230420,19039126,123755,246156,7367844,57015017,187517489,131420893,5139641
United States,3255,"Paint, coating, and adhesive manufacturing",2013,53674,3346345,32052,65404,1543399,21683919,38203519,16601741,575308
United States,3256,"Soap, cleaning compound, and toilet preparation manufacturing",2013,90705,5445243,58857,115708,2691439,41701219,90155826,48498148,1698846
United States,3259,Other chemical product and preparation manufacturing,2013,77770,4470798,49357,98689,2288712,24100956,45014822,20986585,1083072
United States,326,Plastics and rubber products manufacturing,2013,703688,31875008,540712,1109644,20244117,123140787,227103649,104700432,7822040
United States,3261,Plastics product manufacturing,2013,574812,25582597,441201,905610,15962716,96508363,182848013,86984752,6273185
United States,3262,Rubber product manufacturing,2013,128875,6292411,99511,204034,4281401,26632423,44255636,17715680,1548855
United States,327,Nonmetallic mineral product manufacturing,2013,348434,16966059,265123,552958,11425213,47123524,105501997,58755189,4400722
United States,3271,Clay product and refractory manufacturing,2013,32941,1473175,25106,49342,959389,3048286,7468926,4504771,280470
United States,3272,Glass and glass product manufacturing,2013,82661,4166183,65365,135512,2837843,10352184,23719093,13460037,1068995
United States,3273,Cement and concrete product manufacturing,2013,149594,7114438,114399,243758,4966390,21293225,44004525,22907613,1988087
United States,3274,Lime and gypsum product manufacturing,2013,11903,708655,9853,21042,542178,3334293,6817732,3497128,266245
United States,3279,Other nonmetallic mineral product manufacturing,2013,71335,3503607,50401,103305,2119414,9095535,23491720,14385640,796925
United States,331,Primary metal manufacturing,2013,386251,23194702,303363,653392,16456829,173563219,262186646,88657029,7904460
United States,3311,Iron and steel mills and ferroalloy manufacturing,2013,100719,7744191,79833,178612,5857958,73955530,107612147,33864749,3301640
United States,3312,Steel product manufacturing from purchased steel,2013,46699,2659211,35965,76689,1778391,16168317,24537357,8374084,778836
United States,3313,Alumina and aluminum production and processing,2013,56381,3238875,43738,94727,2299060,27626921,38627771,10931977,1145009
United States,3314,Nonferrous metal (except aluminum) production and processing,2013,58726,3554482,42514,90033,2179437,41652098,59311174,17500092,1079353
United States,3315,Foundries,2013,123726,5997943,101313,213331,4341983,14160352,32098197,17986127,1599623
United States,332,Fabricated metal product manufacturing,2013,1379859,69157348,1016981,2087259,43141663,162288478,345089256,183908899,11348744
United States,3321,Forging and stamping,2013,111494,5697456,83864,175343,3597147,19189580,34559660,15512015,1506168
United States,3322,Cutlery and handtool manufacturing,2013,34241,1748940,23865,48830,1002538,3915877,10052117,6122994,364278
United States,3323,Architectural and structural metals manufacturing,2013,322236,15461152,232222,474001,9311840,39318887,77473642,38150701,1686992
United States,3324,"Boiler, tank, and shipping container manufacturing",2013,87980,4959944,65531,138962,3170212,21055302,35335632,14319941,840320
United States,3325,Hardware manufacturing,2013,26471,1258265,17707,35037,640779,3711260,7713400,4039980,169187
United States,3326,Spring and wire product manufacturing,2013,37428,1686886,27852,56063,1036713,4574673,8826580,4255557,217933
United States,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",2013,384119,19291133,290829,597040,13027347,26001692,68599121,42951708,3460730
United States,3328,"Coating, engraving, heat treating, and allied activities",2013,122480,5464911,95417,195620,3644730,10771003,27132897,16453255,876153
United States,3329,Other fabricated metal product manufacturing,2013,253410,13588662,179693,366362,7710358,33750202,75396207,42102749,2226983
United States,333,Machinery manufacturing,2013,1057684,61022918,683449,1378497,31328945,203078910,394073320,191750914,10096555
United States,3331,"Agriculture, construction, and mining machinery manufacturing",2013,213865,11937599,147276,289211,6807542,61886525,113620146,51531765,3046458
United States,3332,Industrial machinery manufacturing,2013,97034,6818483,51962,106339,2489061,14874981,32139200,17574521,758787
United States,3333,Commercial and service industry machinery manufacturing,2013,81008,4864804,46315,92705,2047524,12117405,24771877,13035451,487335
United States,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",2013,132232,6170517,93341,183719,3436894,22319103,43115820,20632697,1082484
United States,3335,Metalworking machinery manufacturing,2013,143140,8123474,101086,214253,5070360,12432055,30197132,17803558,1063974
United States,3336,"Engine, turbine, and power transmission equipment manufacturing",2013,101715,5963308,68442,133938,3261584,28252980,48337080,20585089,1496990
United States,3339,Other general purpose machinery manufacturing,2013,288689,17144732,175027,358333,8215980,51195862,101892065,50587834,2160527
United States,334,Computer and electronic product manufacturing,2013,811598,60799569,382859,759882,19765322,126583684,325807944,197971975,20114515
United States,3341,Computer and peripheral equipment manufacturing,2013,48333,3487191,16466,31373,706359,14425751,29415773,15043517,484838
United States,3342,Communications equipment manufacturing,2013,107081,9486459,48192,95375,3594793,20742103,44317402,23198131,1548296
United States,3343,Audio and video equipment manufacturing,2013,9410,529775,4681,8847,155135,1252563,2970297,1738039,47961
United States,3344,Semiconductor and other electronic component manufacturing,2013,254137,16036170,156442,313036,7280311,36581640,103758330,66484603,15038814
United States,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2013,377037,30515119,147346,296020,7724536,52603378,142677193,89853190,2921006
United States,3346,Manufacturing and reproducing magnetic and optical media,2013,15602,744855,9732,15231,304188,978250,2668949,1654495,73600
United States,335,"Electrical equipment, appliance, and component manufacturing",2013,332176,17962950,221022,449154,9203422,63222067,123286536,60254470,2703748
United States,3351,Electric lighting equipment manufacturing,2013,42496,2113593,26956,53847,1010511,5459234,11778196,6355755,238037
United States,3352,Household appliance manufacturing,2013,41945,1903449,35452,73147,1416056,10523705,19662173,9170325,454080
United States,3353,Electrical equipment manufacturing,2013,115140,6473987,72448,146385,3075039,19815168,39081107,19355703,791106
United States,3359,Other electrical equipment and component manufacturing,2013,132595,7471921,86166,175775,3701816,27423960,52765060,25372687,1220524
United States,336,Transportation equipment manufacturing,2013,1383528,88273266,968733,1980888,52552584,538007282,836966746,302138827,25008161
United States,3361,Motor vehicle manufacturing,2013,166937,12048209,143572,295804,9794352,217049403,280686963,63919167,8938185
United States,3362,Motor vehicle body and trailer manufacturing,2013,116904,5175303,93917,190763,3487052,22631546,34713229,12248277,447454
United States,3363,Motor vehicle parts manufacturing,2013,482486,24831251,372728,776236,16809237,151691291,226605019,75042046,10309397
United States,3364,Aerospace product and parts manufacturing,2013,424888,35332264,227723,453030,16173540,109778714,223864379,116245118,4023432
United States,3365,Railroad rolling stock manufacturing,2013,29010,1714651,21060,43071,1099643,13714208,20208875,6703649,254803
United States,3366,Ship and boat building,2013,132121,7489947,89702,184348,4330275,13272616,33561414,20288798,603497
United States,3369,Other transportation equipment manufacturing,2013,31182,1681641,20032,37637,858486,9869504,17326867,7691772,431394
United States,337,Furniture and related product manufacturing,2013,342281,13566435,252552,499165,8281167,32730471,69374072,36687356,1142993
United States,3371,Household and institutional furniture and kitchen cabinet manufacturing,2013,205950,7486406,157288,309872,4925423,17090624,35102890,18043762,521222
United States,3372,Office furniture (including fixtures) manufacturing,2013,104647,4847028,72220,143843,2610160,10591036,24120275,13532657,525222
United States,3379,Other furniture related product manufacturing,2013,31684,1233001,23044,45451,745584,5048810,10150907,5110937,96549
United States,339,Miscellaneous manufacturing,2013,537021,28956683,328491,624504,12151034,56434201,156261632,100002861,4277145
United States,3391,Medical equipment and supplies manufacturing,2013,281070,17125277,168515,318701,6539324,30959687,95318027,64263732,2818758
United States,3399,Other miscellaneous manufacturing,2013,255951,11831406,159975,305804,5611710,25474514,60943605,35739129,1458387
Alabama,31-33,Manufacturing,2013,233349,11426295,175783,362096,7419869,81506930,128280015,47356886,3482916
Alabama,311,Food manufacturing,2013,30983,968360,26011,51467,697281,7969896,12149936,4064459,279852
Alabama,3111,Animal food manufacturing,2013,1345,62292,907,2340,36111,1472263,1708188,225157,22318
Alabama,3116,Animal slaughtering and processing,2013,21645,580330,19751,37747,478887,3268279,5704272,2402488,69360
Alabama,3119,Other food manufacturing,2013,2295,96446,1242,2543,41853,586081,899740,306935,21169
Alabama,312,Beverage and tobacco product manufacturing,2013,1292,67744,714,1508,32435,564510,835121,267162,15094
Alabama,313,Textile mills,2013,2522,87090,2110,4200,62210,442491,757470,306606,16940
Alabama,3131,"Fiber, yarn, and thread mills",2013,1249,40840,1132,2217,32115,290698,433079,135161,14478
Alabama,3132,Fabric mills,2013,1176,42260,903,1840,27581,124058,287429,161740,2390
Alabama,3133,Textile and fabric finishing and fabric coating mills,2013,97,3990,75,143,2514,27735,36962,9705,72
Alabama,314,Textile product mills,2013,4465,140370,3598,7192,96387,610128,1018963,402146,14154
Alabama,3141,Textile furnishings mills,2013,3130,98062,2525,5114,67387,378593,676674,298495,9241
Alabama,3149,Other textile product mills,2013,1335,42308,1073,2078,29000,231534,342289,103651,4913
Alabama,315,Apparel manufacturing,2013,1911,47261,1597,3066,36264,101983,285246,179113,6106
Alabama,316,Leather and allied product manufacturing,2013,52,1413,35,61,926,2983,6060,3112,244
Alabama,321,Wood product manufacturing,2013,13882,513357,11091,23651,378774,2185771,3662251,1533001,114568
Alabama,3211,Sawmills and wood preservation,2013,4736,209890,4094,9264,168979,1029225,1664465,636841,39540
Alabama,3212,"Veneer, plywood, and engineered wood product manufacturing",2013,2092,86292,1712,3666,59558,364451,669208,324147,33396
Alabama,3219,Other wood product manufacturing,2013,7055,217175,5285,10721,150237,792096,1328579,572013,41632
Alabama,322,Paper manufacturing,2013,11155,838327,8999,20387,641522,3929080,8339552,4388152,339449
Alabama,3221,"Pulp, paper, and paperboard mills",2013,8436,701787,6819,15737,547232,3193082,7150774,3932845,311775
Alabama,3222,Converted paper product manufacturing,2013,2719,136540,2181,4650,94290,735998,1188778,455307,27674
Alabama,323,Printing and related support activities,2013,3090,126472,2123,4103,75049,174476,467458,293516,17045
Alabama,3231,Printing and related support activities,2013,3090,126472,2123,4103,75049,174476,467458,293516,17045
Alabama,324,Petroleum and coal products manufacturing,2013,1861,132293,1238,2780,73727,3223501,5632062,2426713,121870
Alabama,3241,Petroleum and coal products manufacturing,2013,1861,132293,1238,2780,73727,3223501,5632062,2426713,121870
Alabama,325,Chemical manufacturing,2013,11894,752780,8365,16626,466550,7015464,12889299,5922064,292123
Alabama,3251,Basic chemical manufacturing,2013,3196,273194,2091,4558,174670,3319306,5343053,2049815,115634
Alabama,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2013,4808,264466,3852,7388,184015,2163960,4662616,2483097,57935
Alabama,3255,"Paint, coating, and adhesive manufacturing",2013,903,58027,501,962,26342,327441,659013,330800,2539
Alabama,3256,"Soap, cleaning compound, and toilet preparation manufacturing",2013,236,10648,173,352,6310,53196,95709,41390,948
Alabama,3259,Other chemical product and preparation manufacturing,2013,656,35058,504,1030,21769,289057,496269,225088,17872
Alabama,326,Plastics and rubber products manufacturing,2013,16132,742726,12671,26402,506451,3289681,5750647,2474941,171285
Alabama,3261,Plastics product manufacturing,2013,11433,506087,8774,18484,310563,1980390,4154615,2190373,131535
Alabama,3262,Rubber product manufacturing,2013,4699,236639,3897,7919,195888,1309291,1596032,284568,39750
Alabama,327,Nonmetallic mineral product manufacturing,2013,5588,285302,4370,9378,202657,921881,1844736,919828,102391
Alabama,3271,Clay product and refractory manufacturing,2013,1066,51546,854,1688,37029,120843,270295,143942,17390
Alabama,3273,Cement and concrete product manufacturing,2013,2464,127763,1923,4307,89664,411826,733399,327674,56717
Alabama,3274,Lime and gypsum product manufacturing,2013,402,25574,356,745,21378,124284,295996,172049,18755
Alabama,331,Primary metal manufacturing,2013,16967,1092358,13000,27832,754779,9922082,14936293,5057479,395304
Alabama,3311,Iron and steel mills and ferroalloy manufacturing,2013,6196,507735,4969,10871,371497,6406132,8604865,2239219,139444
Alabama,3312,Steel product manufacturing from purchased steel,2013,3373,220056,2355,5077,127914,1011714,2224235,1208253,121094
Alabama,3313,Alumina and aluminum production and processing,2013,2386,130383,1604,3413,88241,1690058,2110007,428350,62796
Alabama,3314,Nonferrous metal (except aluminum) production and processing,2013,1358,76844,1050,2187,55464,399615,988048,587705,32525
Alabama,3315,Foundries,2013,3654,157340,3023,6284,111663,414563,1009138,593952,39446
Alabama,332,Fabricated metal product manufacturing,2013,23507,1075078,17566,35859,687778,3056154,6165366,3169370,172197
Alabama,3321,Forging and stamping,2013,1723,67798,1352,2821,37506,297656,450362,156356,11529
Alabama,3323,Architectural and structural metals manufacturing,2013,8737,396444,6510,13388,244144,1070213,2190490,1107553,50061
Alabama,3324,"Boiler, tank, and shipping container manufacturing",2013,1126,58837,871,1925,40105,286513,479799,197161,8069
Alabama,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",2013,5177,240419,3964,7640,163880,308233,824066,538987,37906
Alabama,3329,Other fabricated metal product manufacturing,2013,3826,197659,2844,5813,125301,677279,1400978,763149,24135
Alabama,333,Machinery manufacturing,2013,10769,519234,7518,15640,300335,2566361,4315366,1697522,73930
Alabama,3331,"Agriculture, construction, and mining machinery manufacturing",2013,1027,54861,432,1227,21448,248430,409453,168858,17038
Alabama,3339,Other general purpose machinery manufacturing,2013,3353,166665,2325,4897,96179,509331,925084,411093,27681
Alabama,334,Computer and electronic product manufacturing,2013,8571,490870,4336,8413,162691,1159709,2439022,1260338,153471
Alabama,3342,Communications equipment manufacturing,2013,2457,176326,892,1825,37103,303905,803077,481309,18335
Alabama,335,"Electrical equipment, appliance, and component manufacturing",2013,5501,285296,4081,7985,177992,1507798,2611480,1125280,60333
Alabama,3359,Other electrical equipment and component manufacturing,2013,1917,108222,1393,2612,66639,834483,1329821,499447,24982
Alabama,336,Transportation equipment manufacturing,2013,48406,2695550,35443,74259,1724987,31444772,40893601,10008778,1087074
Alabama,3361,Motor vehicle manufacturing,2013,10818,820772,8074,15913,553991,19428606,22960162,3764473,567402
Alabama,3362,Motor vehicle body and trailer manufacturing,2013,3762,177720,2952,6483,120948,752272,1312244,595058,20448
Alabama,3363,Motor vehicle parts manufacturing,2013,20518,930926,15632,33007,624998,9496121,12723259,3227674,443131
Alabama,3364,Aerospace product and parts manufacturing,2013,6090,414439,3368,7674,192452,838032,2143576,1507469,28995
Alabama,3366,Ship and boat building,2013,5806,288264,4408,9316,196232,657023,1224918,567895,21828
Alabama,337,Furniture and related product manufacturing,2013,8409,294947,6826,13676,202755,868949,1948330,1081380,24638
Alabama,3371,Household and institutional furniture and kitchen cabinet manufacturing,2013,5045,170804,4097,8225,111267,476559,1055697,578981,8193
Alabama,3372,Office furniture (including fixtures) manufacturing,2013,3031,111807,2461,4983,82872,338911,795153,458114,15890
Alabama,3379,Other furniture related product manufacturing,2013,333,12335,267,468,8616,53479,97480,44285,555
Alabama,339,Miscellaneous manufacturing,2013,6395,269468,4092,7613,138322,549260,1331755,775925,24849
Alabama,3391,Medical equipment and supplies manufacturing,2013,2834,115760,1853,3209,62216,190735,553719,356870,12998
Alabama,3399,Other miscellaneous manufacturing,2013,3561,153708,2239,4404,76106,358525,778036,419055,11850
Alaska,31-33,Manufacturing,2013,11726,521271,9513,20334,369359,5792366,7444363,1726348,109688
Alaska,311,Food manufacturing,2013,8701,330131,7471,16123,253895,1642809,2575089,923873,69455
Alaska,3117,Seafood product preparation and packaging,2013,8361,320551,7248,15756,248124,1612744,2519202,898012,68780
Arizona,31-33,Manufacturing,2013,129903,8206939,73979,149152,3311125,25141578,52848316,27451350,2761569
Arizona,311,Food manufacturing,2013,9525,404283,7288,15077,268014,4045005,6686692,2670377,94484
Arizona,3111,Animal food manufacturing,2013,422,28890,297,737,20075,542313,857750,318298,10192
Arizona,3115,Dairy product manufacturing,2013,1578,95517,1081,2379,63411,1730952,2743794,1034550,29988
Arizona,3118,Bakeries and tortilla manufacturing,2013,3092,110243,2490,4823,77306,284637,689647,404065,15886
Arizona,3119,Other food manufacturing,2013,2418,95599,1790,3625,55326,458940,1147685,690858,20790
Arizona,312,Beverage and tobacco product manufacturing,2013,2305,97965,1071,2182,39137,994496,1573194,551095,15388
Arizona,3121,Beverage manufacturing,2013,2305,97965,1071,2182,39137,994496,1573194,551095,15388
Arizona,322,Paper manufacturing,2013,1665,91024,1311,2782,59134,383483,796316,421013,19285
Arizona,323,Printing and related support activities,2013,4522,200569,2968,5684,109072,302889,749151,448779,25190
Arizona,3231,Printing and related support activities,2013,4522,200569,2968,5684,109072,302889,749151,448779,25190
Arizona,325,Chemical manufacturing,2013,6294,536394,2648,5214,149580,2052592,4935640,2893705,203257
Arizona,3251,Basic chemical manufacturing,2013,343,26514,221,450,13598,179542,327579,150093,107307
Arizona,3254,Pharmaceutical and medicine manufacturing,2013,3378,296440,1228,2411,79852,286185,1118610,833522,26820
Arizona,3259,Other chemical product and preparation manufacturing,2013,867,57834,462,846,22250,150676,416922,265032,17462
Arizona,326,Plastics and rubber products manufacturing,2013,5242,239756,3890,8125,148836,1031987,1932848,921355,55850
Arizona,3261,Plastics product manufacturing,2013,4924,223684,3645,7619,137219,994641,1858866,884183,54104
Arizona,3262,Rubber product manufacturing,2013,318,16072,245,506,11617,37346,73982,37172,1746
Arizona,327,Nonmetallic mineral product manufacturing,2013,5692,259564,4100,8309,161268,786774,1683182,893865,57224
Arizona,3272,Glass and glass product manufacturing,2013,1087,61152,742,1636,36138,203982,435035,231031,20246
Arizona,3273,Cement and concrete product manufacturing,2013,3170,141353,2289,4358,88739,470112,976683,501225,18948
Arizona,3274,Lime and gypsum product manufacturing,2013,189,10100,159,371,7590,39138,90266,51268,3833
Arizona,3279,Other nonmetallic mineral product manufacturing,2013,791,29127,563,1113,16783,49227,122972,74606,784
Arizona,331,Primary metal manufacturing,2013,3188,166157,2366,4841,103080,1183893,2040109,863939,64641
Arizona,3314,Nonferrous metal (except aluminum) production and processing,2013,1138,63575,837,1542,37081,673910,1210943,533809,46914
Arizona,332,Fabricated metal product manufacturing,2013,18262,997726,12361,24437,524144,2137888,4369510,2174854,149419
Arizona,3321,Forging and stamping,2013,787,42889,617,1286,26879,123569,248460,126767,12288
Arizona,3323,Architectural and structural metals manufacturing,2013,4586,207769,3380,6393,135647,626580,1115604,464963,37079
Arizona,3324,"Boiler, tank, and shipping container manufacturing",2013,286,17673,242,538,13002,108740,158627,48536,3023
Arizona,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",2013,5927,303120,4183,8637,194283,416965,1023860,609270,33404
Arizona,3329,Other fabricated metal product manufacturing,2013,4735,347018,2344,4287,100007,751200,1511701,724747,57326
Arizona,333,Machinery manufacturing,2013,7243,331631,3973,7514,135668,1160779,2246911,1137808,47930
Arizona,3331,"Agriculture, construction, and mining machinery manufacturing",2013,1394,72421,794,1525,29986,456127,892735,463649,10879
Arizona,3332,Industrial machinery manufacturing,2013,704,38250,403,809,18256,201133,273043,74046,2175
Arizona,3333,Commercial and service industry machinery manufacturing,2013,988,68684,437,885,21333,101229,294657,206251,8987
Arizona,3335,Metalworking machinery manufacturing,2013,1141,50391,650,1093,25281,92445,227897,143173,13530
Arizona,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2013,6308,537662,2157,4607,118492,1011588,2510212,1472575,51789
Arizona,335,"Electrical equipment, appliance, and component manufacturing",2013,2413,125217,1457,2857,55599,345463,693282,347042,13790
Arizona,3359,Other electrical equipment and component manufacturing,2013,1091,58813,570,1238,22281,155927,328861,167301,3778
Arizona,336,Transportation equipment manufacturing,2013,25768,2426654,10049,21479,763332,6384055,13365879,6790700,130890
Arizona,3364,Aerospace product and parts manufacturing,2013,22174,2244887,7506,16133,658400,5911223,12146311,6107115,101261
Arizona,3365,Railroad rolling stock manufacturing,2013,77,5813,53,110,1750,27543,45100,17894,0
Arizona,339,Miscellaneous manufacturing,2013,9702,566754,5143,9591,196367,545526,2787430,2241773,66395
Arizona,3391,Medical equipment and supplies manufacturing,2013,6387,406617,3383,5987,137442,287376,2069106,1785811,48327
Arizona,3399,Other miscellaneous manufacturing,2013,3316,160137,1760,3604,58925,258150,718324,455962,18068
Arkansas,31-33,Manufacturing,2013,150545,6380249,122310,247071,4525534,36902052,62127710,25152244,1727667
Arkansas,311,Food manufacturing,2013,43469,1368209,38380,75898,1076514,11414068,17387895,5967021,343558
Arkansas,3111,Animal food manufacturing,2013,1349,63387,972,1956,43163,2027447,2451185,424305,7048
Arkansas,3112,Grain and oilseed milling,2013,2734,111705,2193,4307,81747,1963991,2600675,651430,44720
Arkansas,3114,Fruit and vegetable preserving and specialty food manufacturing,2013,4285,161616,3800,7903,128574,793575,1429756,635699,92246
Arkansas,3115,Dairy product manufacturing,2013,444,21478,262,592,12983,252284,281961,29065,5640
Arkansas,3116,Animal slaughtering and processing,2013,30635,845337,28064,55098,703965,5467490,8931849,3450555,117534
Arkansas,3118,Bakeries and tortilla manufacturing,2013,2338,92443,1581,3050,48582,237694,479141,242775,12593
Arkansas,3119,Other food manufacturing,2013,1460,67699,1302,2659,53605,658550,1180205,513815,62954
Arkansas,312,Beverage and tobacco product manufacturing,2013,643,31870,424,837,20521,223649,458535,235304,5282
Arkansas,3121,Beverage manufacturing,2013,643,31870,424,837,20521,223649,458535,235304,5282
Arkansas,321,Wood product manufacturing,2013,8111,328201,6854,14445,255445,1403073,2563393,1168450,106179
Arkansas,3211,Sawmills and wood preservation,2013,3906,166575,3393,7158,134463,763359,1329799,571273,79974
Arkansas,3212,"Veneer, plywood, and engineered wood product manufacturing",2013,1768,82267,1474,3435,62755,394619,706251,311893,16115
Arkansas,3219,Other wood product manufacturing,2013,2436,79359,1987,3853,58228,245095,527343,285285,10091
Arkansas,322,Paper manufacturing,2013,9106,524166,7161,14787,379017,2514515,5364961,2834389,191779
Arkansas,3221,"Pulp, paper, and paperboard mills",2013,4199,300415,3213,6815,210576,1446219,3030355,1563223,133739
Arkansas,3222,Converted paper product manufacturing,2013,4908,223751,3949,7972,168441,1068296,2334606,1271166,58040
Arkansas,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2013,328,16401,232,443,9598,108407,282072,173250,19384
Arkansas,3259,Other chemical product and preparation manufacturing,2013,554,29148,407,812,17493,71566,241926,170903,3863
Arkansas,326,Plastics and rubber products manufacturing,2013,10780,489614,9141,19261,377860,1970084,3719263,1773268,115106
Arkansas,3261,Plastics product manufacturing,2013,6747,266634,5801,11842,198191,1234494,2233666,1015528,69795
Arkansas,3262,Rubber product manufacturing,2013,4033,222980,3340,7419,179669,735590,1485598,757740,45311
Arkansas,327,Nonmetallic mineral product manufacturing,2013,2948,128365,2246,4697,91185,420814,881138,471098,56679
Arkansas,3273,Cement and concrete product manufacturing,2013,1537,63736,1201,2630,47980,196371,378886,188658,42221
Arkansas,3279,Other nonmetallic mineral product manufacturing,2013,634,28138,431,863,17118,82067,239253,158178,5670
Arkansas,331,Primary metal manufacturing,2013,7645,498830,6295,14243,380431,4865979,6678320,1813826,169546
Arkansas,3311,Iron and steel mills and ferroalloy manufacturing,2013,2717,235651,2276,5143,184024,3074148,4098266,1032931,123468
Arkansas,3312,Steel product manufacturing from purchased steel,2013,2352,140134,1910,4325,107633,758289,1192666,429999,22306
Arkansas,3313,Alumina and aluminum production and processing,2013,706,39674,549,1289,28516,523501,603093,84316,13362
